MAC,INI_CONN,FIN_CONN
48-C7-96-EE-75-1C,01/10/2019 10:46,01/10/2019 10:47
F0-D7-AA-AD-51-AD,02/10/2019 13:00,02/10/2019 13:06
94-0E-6B-C3-6A-48,04/10/2019 10:53,04/10/2019 11:23
FC-42-03-09-7A-05,01/10/2019 11:03,01/10/2019 11:10
30-96-FB-68-47-C0,04/10/2019 9:11,04/10/2019 10:04
48-C7-96-3E-00-43,03/10/2019 11:36,03/10/2019 12:27
84-10-0D-80-A0-37,02/10/2019 10:35,02/10/2019 13:00
FC-42-03-AF-57-1F,03/10/2019 9:46,03/10/2019 9:54
94-7B-E7-F0-64-8C,19/09/2019 8:56,19/09/2019 9:03
DC-74-A8-E9-60-92,16/09/2019 9:13,16/09/2019 9:32
70-BB-E9-CB-18-49,16/09/2019 11:01,16/09/2019 11:01
FC-A6-21-6C-16-2D,19/09/2019 13:55,19/09/2019 14:00
